Date,Open,High,Low,Close,Adj Close,Volume
2022-10-27,74.750000,75.879997,74.550003,75.150002,74.869263,7053000
2022-10-28,75.300003,77.680000,75.300003,77.360001,77.071007,8758100
2022-10-31,76.500000,78.330002,76.400002,78.070000,77.778351,12349000
2022-11-01,78.599998,79.230003,76.339996,77.110001,76.821938,7753000
2022-11-02,76.650002,77.430000,75.010002,75.120003,74.839378,7524300
2022-11-03,74.720001,75.690002,74.050003,75.029999,74.749710,6761200
2022-11-04,75.940002,76.669998,74.239998,76.000000,75.716087,7219000
2022-11-07,76.110001,77.089996,75.489998,76.739998,76.453316,5394300
2022-11-08,76.949997,77.139999,75.019997,75.639999,75.357430,9104200
2022-11-09,75.379997,76.540001,75.000000,75.660004,75.377357,6013700
2022-11-10,77.699997,78.470001,76.709999,77.169998,76.881714,10437300
2022-11-11,77.129997,77.889999,76.570000,77.739998,77.449585,7712900
2022-11-14,77.480003,79.540001,77.330002,78.529999,78.236633,7153000
2022-11-15,78.930000,80.680000,78.010002,79.180000,78.884209,7618500
2022-11-16,79.120003,80.230003,78.860001,79.889999,79.591553,6011900
2022-11-17,79.169998,79.580002,78.190002,79.199997,78.904129,5717300
2022-11-18,80.000000,80.459999,78.849998,79.730003,79.432152,6107000
2022-11-21,79.570000,80.099998,78.900002,79.820000,79.521812,5235400
2022-11-22,79.889999,82.209999,79.830002,82.120003,81.813225,8796200
2022-11-23,82.120003,82.919998,81.779999,82.559998,82.251579,6347900
2022-11-25,82.849998,83.489998,82.540001,82.720001,82.410980,2754900
2022-11-28,82.110001,82.139999,81.070000,81.389999,81.085953,5112200
2022-11-29,81.330002,81.500000,80.519997,80.849998,80.547966,4928200
2022-11-30,80.470001,83.180000,80.000000,83.029999,82.719818,9610300
2022-12-01,83.050003,84.529999,82.349998,84.110001,83.795792,6127200
2022-12-02,83.199997,83.620003,82.580002,83.349998,83.038628,4798900
2022-12-05,82.410004,82.419998,79.410004,79.430000,79.133270,9102900
2022-12-06,79.349998,79.820000,78.059998,78.910004,78.615219,7656100
2022-12-07,78.669998,79.440002,78.580002,78.779999,78.485695,5105500
2022-12-08,79.129997,80.209999,78.529999,80.070000,79.770882,5918700
2022-12-09,79.650002,80.360001,79.540001,79.860001,79.561668,6850800
2022-12-12,80.309998,81.410004,79.940002,81.279999,80.976357,15807600
2022-12-13,84.940002,85.580002,79.699997,80.559998,80.259048,22812200
2022-12-14,80.809998,82.889999,80.570000,81.820000,81.514343,11183100
2022-12-15,80.790001,81.029999,79.459999,80.070000,79.770882,8196800
2022-12-16,79.959999,80.459999,79.480003,79.580002,79.282715,19200700
2022-12-19,79.919998,81.099998,79.680000,80.500000,80.199272,7738800
2022-12-20,80.500000,81.489998,80.349998,80.940002,80.637634,6390200
2022-12-21,81.349998,82.139999,80.940002,81.500000,81.195541,5932400
2022-12-22,80.940002,81.169998,79.430000,80.489998,80.189308,8181400
2022-12-23,80.510002,80.900002,79.989998,80.849998,80.547966,4129100
2022-12-27,80.879997,81.470001,80.610001,80.980003,80.677483,4290700
2022-12-28,81.089996,81.639999,80.190002,80.330002,80.029915,3794000
2022-12-29,80.970001,81.800003,80.699997,81.400002,81.095917,3867800
2022-12-30,81.129997,81.930000,80.760002,81.739998,81.434639,5375700
2023-01-03,82.470001,83.839996,82.260002,83.720001,83.407249,8997500
2023-01-04,84.199997,85.169998,83.639999,84.480003,84.164406,7836200
2023-01-05,85.000000,85.400002,83.220001,84.309998,83.995041,7643800
2023-01-06,84.739998,86.339996,83.820000,85.660004,85.340004,8641600
2023-01-09,86.839996,87.589996,86.160004,86.419998,86.419998,7519700
2023-01-10,85.639999,86.610001,85.570000,86.500000,86.500000,5703300
2023-01-11,87.370003,88.660004,87.089996,88.599998,88.599998,8359700
2023-01-12,88.699997,89.199997,88.169998,88.779999,88.779999,6071100
2023-01-13,87.949997,89.470001,87.660004,89.199997,89.199997,5090800
2023-01-17,89.190002,89.440002,88.430000,88.599998,88.599998,6550400
2023-01-18,88.599998,88.629997,86.599998,86.709999,86.709999,6397700
2023-01-19,86.400002,86.989998,85.260002,85.940002,85.940002,5597000
2023-01-20,86.029999,87.379997,85.500000,87.250000,87.250000,5567300
2023-01-23,87.190002,89.129997,86.970001,88.970001,88.970001,7390200
2023-01-24,89.050003,90.099998,88.000000,89.699997,89.699997,7006400
2023-01-25,88.699997,89.860001,87.739998,89.639999,89.639999,5895937
